station,water_year,swe_cov_feature,swe_cov_target,peak_swe_mm,reason
307:MT:SNTL,2018,0.0,0.004672897196261682,0.0,feature-window SWE coverage < 90%
310:AZ:SNTL,2025,1.0,1.0,27.94,peak SWE < 50 mm
422:OR:SNTL,2005,1.0,1.0,45.72,peak SWE < 50 mm
445:NV:SNTL,2014,1.0,1.0,30.479999999999997,peak SWE < 50 mm
445:NV:SNTL,2018,1.0,1.0,27.94,peak SWE < 50 mm
486:NM:SNTL,1996,1.0,1.0,45.72,peak SWE < 50 mm
486:NM:SNTL,1999,1.0,1.0,38.099999999999994,peak SWE < 50 mm
486:NM:SNTL,2000,1.0,1.0,7.619999999999999,peak SWE < 50 mm
486:NM:SNTL,2006,1.0,1.0,43.18,peak SWE < 50 mm
486:NM:SNTL,2018,1.0,1.0,10.16,peak SWE < 50 mm
486:NM:SNTL,2021,1.0,1.0,33.019999999999996,peak SWE < 50 mm
486:NM:SNTL,2022,1.0,1.0,40.64,peak SWE < 50 mm
486:NM:SNTL,2025,1.0,1.0,15.239999999999998,peak SWE < 50 mm
511:AZ:SNTL,2022,0.8807947019867549,1.0,160.01999999999998,feature-window SWE coverage < 90%
511:AZ:SNTL,2025,1.0,1.0,35.559999999999995,peak SWE < 50 mm
514:UT:SNTL,2007,1.0,1.0,45.72,peak SWE < 50 mm
514:UT:SNTL,2018,1.0,1.0,38.099999999999994,peak SWE < 50 mm
595:NM:SNTL,1999,1.0,1.0,25.4,peak SWE < 50 mm
595:NM:SNTL,2000,1.0,1.0,45.72,peak SWE < 50 mm
595:NM:SNTL,2003,1.0,1.0,40.64,peak SWE < 50 mm
595:NM:SNTL,2006,1.0,1.0,10.16,peak SWE < 50 mm
595:NM:SNTL,2009,1.0,1.0,48.26,peak SWE < 50 mm
595:NM:SNTL,2011,1.0,1.0,33.019999999999996,peak SWE < 50 mm
595:NM:SNTL,2013,1.0,1.0,30.479999999999997,peak SWE < 50 mm
595:NM:SNTL,2014,1.0,1.0,27.94,peak SWE < 50 mm
595:NM:SNTL,2015,1.0,1.0,27.94,peak SWE < 50 mm
595:NM:SNTL,2018,1.0,1.0,7.619999999999999,peak SWE < 50 mm
595:NM:SNTL,2019,1.0,1.0,33.019999999999996,peak SWE < 50 mm
595:NM:SNTL,2021,1.0,1.0,38.099999999999994,peak SWE < 50 mm
595:NM:SNTL,2022,1.0,1.0,27.94,peak SWE < 50 mm
595:NM:SNTL,2023,1.0,1.0,35.559999999999995,peak SWE < 50 mm
595:NM:SNTL,2025,1.0,1.0,17.779999999999998,peak SWE < 50 mm
648:WA:SNTL,2021,0.5033112582781457,1.0,1003.3,feature-window SWE coverage < 90%
734:WA:SNTL,2021,0.9006622516556292,0.8598130841121495,1076.9599999999998,target-window SWE coverage < 90%
750:NV:SNTL,1991,1.0,1.0,40.64,peak SWE < 50 mm
750:NV:SNTL,1992,1.0,1.0,27.94,peak SWE < 50 mm
750:NV:SNTL,1993,1.0,1.0,124.46000000000001,station has < 20 usable years
750:NV:SNTL,1994,1.0,1.0,20.32,peak SWE < 50 mm
750:NV:SNTL,1995,1.0,1.0,40.64,peak SWE < 50 mm
750:NV:SNTL,1996,1.0,1.0,60.959999999999994,station has < 20 usable years
750:NV:SNTL,1997,1.0,1.0,53.339999999999996,station has < 20 usable years
750:NV:SNTL,1998,1.0,1.0,15.239999999999998,peak SWE < 50 mm
750:NV:SNTL,1999,1.0,1.0,76.19999999999999,station has < 20 usable years
750:NV:SNTL,2000,1.0,1.0,20.32,peak SWE < 50 mm
750:NV:SNTL,2001,0.7947019867549668,1.0,15.239999999999998,feature-window SWE coverage < 90%
750:NV:SNTL,2002,1.0,1.0,53.339999999999996,station has < 20 usable years
750:NV:SNTL,2003,1.0,1.0,22.86,peak SWE < 50 mm
750:NV:SNTL,2004,1.0,1.0,40.64,peak SWE < 50 mm
750:NV:SNTL,2005,1.0,1.0,27.94,peak SWE < 50 mm
750:NV:SNTL,2006,1.0,1.0,10.16,peak SWE < 50 mm
750:NV:SNTL,2007,1.0,1.0,17.779999999999998,peak SWE < 50 mm
750:NV:SNTL,2008,1.0,1.0,27.94,peak SWE < 50 mm
750:NV:SNTL,2009,1.0,1.0,20.32,peak SWE < 50 mm
750:NV:SNTL,2010,1.0,1.0,12.7,peak SWE < 50 mm
750:NV:SNTL,2011,1.0,1.0,33.019999999999996,peak SWE < 50 mm
750:NV:SNTL,2012,1.0,1.0,12.7,peak SWE < 50 mm
750:NV:SNTL,2013,1.0,1.0,38.099999999999994,peak SWE < 50 mm
750:NV:SNTL,2014,1.0,1.0,2.54,peak SWE < 50 mm
750:NV:SNTL,2015,1.0,1.0,15.239999999999998,peak SWE < 50 mm
750:NV:SNTL,2016,1.0,1.0,35.559999999999995,peak SWE < 50 mm
750:NV:SNTL,2017,1.0,1.0,27.94,peak SWE < 50 mm
750:NV:SNTL,2018,1.0,1.0,10.16,peak SWE < 50 mm
750:NV:SNTL,2019,1.0,1.0,17.779999999999998,peak SWE < 50 mm
750:NV:SNTL,2020,1.0,1.0,20.32,peak SWE < 50 mm
750:NV:SNTL,2021,1.0,1.0,15.239999999999998,peak SWE < 50 mm
750:NV:SNTL,2022,1.0,1.0,25.4,peak SWE < 50 mm
750:NV:SNTL,2023,1.0,1.0,48.26,peak SWE < 50 mm
750:NV:SNTL,2024,1.0,1.0,33.019999999999996,peak SWE < 50 mm
750:NV:SNTL,2025,1.0,1.0,25.4,peak SWE < 50 mm
866:AZ:SNTL,2000,1.0,1.0,25.4,peak SWE < 50 mm
866:AZ:SNTL,2001,1.0,1.0,40.64,peak SWE < 50 mm
866:AZ:SNTL,2014,1.0,1.0,20.32,peak SWE < 50 mm
866:AZ:SNTL,2015,1.0,1.0,33.019999999999996,peak SWE < 50 mm
866:AZ:SNTL,2018,1.0,1.0,7.619999999999999,peak SWE < 50 mm
866:AZ:SNTL,2021,0.8278145695364238,1.0,38.099999999999994,feature-window SWE coverage < 90%
866:AZ:SNTL,2025,1.0,1.0,17.779999999999998,peak SWE < 50 mm
877:AZ:SNTL,1996,1.0,1.0,43.18,peak SWE < 50 mm
877:AZ:SNTL,2018,1.0,1.0,27.94,peak SWE < 50 mm
877:AZ:SNTL,2025,1.0,1.0,33.019999999999996,peak SWE < 50 mm
