station,water_year,disappearance_date,days_from_march1,target_is_censored,reason,swe_march1_mm,peak_swe_mm,peak_swe_date
307:MT:SNTL,1991,1991-07-07,128,False,melt_out,988.06,1480.82,1991-05-06
307:MT:SNTL,1992,1992-05-30,90,False,melt_out,584.1999999999999,637.54,1992-03-31
307:MT:SNTL,1993,1993-06-25,116,False,melt_out,431.79999999999995,695.9599999999999,1993-05-04
307:MT:SNTL,1994,1994-06-18,109,False,melt_out,541.02,708.66,1994-04-08
307:MT:SNTL,1995,1995-07-07,128,False,melt_out,746.7599999999999,980.4399999999999,1995-05-14
307:MT:SNTL,1996,1996-07-01,122,False,melt_out,876.3,1102.36,1996-05-10
307:MT:SNTL,1997,1997-06-28,119,False,melt_out,949.9599999999999,1310.6399999999999,1997-04-16
307:MT:SNTL,1998,1998-06-17,108,False,melt_out,467.35999999999996,670.56,1998-04-17
307:MT:SNTL,1999,1999-07-07,128,False,melt_out,1005.84,1206.5,1999-04-23
307:MT:SNTL,2000,2000-06-13,104,False,melt_out,599.44,802.64,2000-04-08
307:MT:SNTL,2001,2001-06-17,108,False,melt_out,363.21999999999997,650.24,2001-04-23
307:MT:SNTL,2002,2002-07-12,133,False,melt_out,756.92,1315.7199999999998,2002-05-08
307:MT:SNTL,2003,2003-06-17,108,False,melt_out,454.6599999999999,817.88,2003-04-09
307:MT:SNTL,2004,2004-06-25,116,False,melt_out,594.3599999999999,769.62,2004-03-29
307:MT:SNTL,2005,2005-06-16,107,False,melt_out,337.82,579.12,2005-04-21
307:MT:SNTL,2006,2006-06-13,104,False,melt_out,708.66,934.7199999999999,2006-04-20
307:MT:SNTL,2007,2007-06-15,106,False,melt_out,680.72,848.3599999999999,2007-04-21
307:MT:SNTL,2008,2008-07-15,136,False,melt_out,830.58,1198.88,2008-06-12
307:MT:SNTL,2009,2009-06-28,119,False,melt_out,502.92,871.2199999999999,2009-05-15
307:MT:SNTL,2010,2010-06-28,119,False,melt_out,535.94,749.3,2010-05-09
307:MT:SNTL,2011,2011-07-16,137,False,melt_out,787.4,1366.5199999999998,2011-05-09
307:MT:SNTL,2012,2012-06-29,120,False,melt_out,764.54,1102.36,2012-04-20
307:MT:SNTL,2013,2013-06-20,111,False,melt_out,675.64,942.34,2013-04-24
307:MT:SNTL,2014,2014-07-03,124,False,melt_out,782.3199999999999,1178.56,2014-04-26
307:MT:SNTL,2015,2015-06-05,96,False,melt_out,655.3199999999999,734.06,2015-04-15
307:MT:SNTL,2016,2016-06-05,96,False,melt_out,525.78,655.3199999999999,2016-04-01
307:MT:SNTL,2017,2017-06-18,109,False,melt_out,673.0999999999999,1016.0,2017-05-03
307:MT:SNTL,2019,2019-06-07,98,False,melt_out,500.37999999999994,650.24,2019-04-17
307:MT:SNTL,2020,2020-06-14,105,False,melt_out,800.0999999999999,1046.48,2020-04-20
307:MT:SNTL,2021,2021-06-14,105,False,melt_out,746.7599999999999,901.6999999999999,2021-04-27
307:MT:SNTL,2022,2022-06-23,114,False,melt_out,637.54,955.04,2022-04-25
307:MT:SNTL,2023,2023-05-30,90,False,melt_out,655.3199999999999,825.5,2023-04-27
307:MT:SNTL,2024,2024-06-06,97,False,melt_out,388.62,467.35999999999996,2024-04-09
307:MT:SNTL,2025,2025-05-31,91,False,melt_out,464.82,662.94,2025-04-21
308:AZ:SNTL,1991,1991-04-20,50,False,melt_out,149.86,276.86,1991-03-28
308:AZ:SNTL,1992,1992-04-13,43,False,melt_out,190.5,292.09999999999997,1992-03-09
308:AZ:SNTL,1993,1993-04-07,37,False,melt_out,304.79999999999995,312.42,1993-03-03
308:AZ:SNTL,1994,1994-04-30,60,False,melt_out,193.04,198.11999999999998,1994-02-26
308:AZ:SNTL,1995,1995-03-13,12,False,melt_out,96.52,193.04,1995-01-29
308:AZ:SNTL,1996,1996-03-17,16,False,melt_out,48.26,50.8,1996-02-26
308:AZ:SNTL,1997,1997-04-09,39,False,melt_out,187.96,200.66,1997-03-06
308:AZ:SNTL,1998,1998-04-30,60,False,melt_out,289.56,335.28,1998-04-07
308:AZ:SNTL,1999,1999-04-15,45,False,melt_out,0.0,91.44,1999-04-04
308:AZ:SNTL,2000,2000-04-02,32,False,melt_out,0.0,104.13999999999999,2000-03-07
308:AZ:SNTL,2001,2001-04-15,45,False,melt_out,182.88,226.06,2001-03-11
308:AZ:SNTL,2002,2002-03-01,0,False,gone_at_origin,0.0,55.88,2001-12-31
308:AZ:SNTL,2003,2003-03-31,30,False,melt_out,139.7,139.7,2003-03-01
308:AZ:SNTL,2004,2004-03-16,15,False,melt_out,124.46000000000001,132.07999999999998,2004-03-04
308:AZ:SNTL,2005,2005-04-04,34,False,melt_out,190.5,205.73999999999998,2005-03-05
308:AZ:SNTL,2006,2006-03-27,26,False,melt_out,0.0,60.959999999999994,2006-03-12
308:AZ:SNTL,2007,2007-03-14,13,False,melt_out,124.46000000000001,132.07999999999998,2007-02-24
308:AZ:SNTL,2008,2008-03-27,26,False,melt_out,233.67999999999998,266.7,2008-02-23
308:AZ:SNTL,2009,2009-03-20,19,False,melt_out,154.93999999999997,215.89999999999998,2009-02-17
308:AZ:SNTL,2010,2010-04-16,46,False,melt_out,408.94,462.28,2010-03-10
308:AZ:SNTL,2011,2011-04-12,42,False,melt_out,73.66,76.19999999999999,2011-02-27
308:AZ:SNTL,2012,2012-03-24,23,False,melt_out,15.239999999999998,121.91999999999999,2011-12-18
308:AZ:SNTL,2013,2013-03-20,19,False,melt_out,91.44,116.83999999999999,2013-03-10
308:AZ:SNTL,2014,2014-03-04,3,False,melt_out,17.779999999999998,58.419999999999995,2013-12-20
308:AZ:SNTL,2015,2015-03-11,10,False,melt_out,38.099999999999994,53.339999999999996,2015-03-05
308:AZ:SNTL,2016,2016-03-01,0,False,gone_at_origin,0.0,175.26,2016-01-07
308:AZ:SNTL,2017,2017-03-15,14,False,melt_out,149.86,165.1,2017-01-24
308:AZ:SNTL,2018,2018-03-12,11,False,melt_out,53.339999999999996,53.339999999999996,2018-02-28
308:AZ:SNTL,2019,2019-04-01,31,False,melt_out,167.64,182.88,2019-02-22
308:AZ:SNTL,2020,2020-03-26,25,False,melt_out,17.779999999999998,139.7,2019-12-28
308:AZ:SNTL,2021,2021-03-30,29,False,melt_out,93.98,137.16,2021-01-27
308:AZ:SNTL,2022,2022-03-17,16,False,melt_out,40.64,63.5,2022-01-01
308:AZ:SNTL,2023,2023-04-17,47,False,melt_out,322.58,325.12,2023-03-02
308:AZ:SNTL,2024,2024-05-26,86,False,melt_out,91.44,157.48,2024-02-08
308:AZ:SNTL,2025,2025-04-24,54,False,melt_out,0.0,96.52,2025-03-15
310:AZ:SNTL,1991,1991-04-21,51,False,melt_out,271.78,355.59999999999997,1991-03-27
310:AZ:SNTL,1992,1992-04-14,44,False,melt_out,228.6,266.7,1992-03-10
310:AZ:SNTL,1993,1993-04-25,55,False,melt_out,436.87999999999994,439.42,1993-03-04
310:AZ:SNTL,1994,1994-04-15,45,False,melt_out,172.72,172.72,1994-03-01
310:AZ:SNTL,1995,1995-04-22,52,False,melt_out,256.53999999999996,264.15999999999997,1995-03-11
310:AZ:SNTL,1996,1996-04-01,31,False,melt_out,35.559999999999995,83.82,1996-02-03
310:AZ:SNTL,1997,1997-04-13,43,False,melt_out,254.0,266.7,1997-02-28
310:AZ:SNTL,1998,1998-04-25,55,False,melt_out,231.14,292.09999999999997,1998-03-19
310:AZ:SNTL,1999,1999-04-15,45,False,melt_out,7.619999999999999,96.52,1999-02-14
310:AZ:SNTL,2000,2000-03-30,29,False,melt_out,12.7,55.88,2000-03-08
310:AZ:SNTL,2001,2001-04-25,55,False,melt_out,233.67999999999998,264.15999999999997,2001-03-10
310:AZ:SNTL,2002,2002-03-17,16,False,melt_out,86.36,106.67999999999999,2002-02-11
310:AZ:SNTL,2003,2003-04-16,46,False,melt_out,203.2,226.06,2003-03-07
310:AZ:SNTL,2004,2004-04-14,44,False,melt_out,149.86,193.04,2004-03-05
310:AZ:SNTL,2005,2005-04-18,48,False,melt_out,284.47999999999996,292.09999999999997,2005-03-05
310:AZ:SNTL,2006,2006-04-01,31,False,melt_out,0.0,86.36,2006-03-14
310:AZ:SNTL,2007,2007-03-25,24,False,melt_out,147.32,149.86,2007-02-25
310:AZ:SNTL,2008,2008-04-03,33,False,melt_out,287.02,304.79999999999995,2008-02-23
310:AZ:SNTL,2009,2009-04-04,34,False,melt_out,220.97999999999996,254.0,2009-02-17
310:AZ:SNTL,2010,2010-05-04,64,False,melt_out,360.67999999999995,419.09999999999997,2010-03-23
310:AZ:SNTL,2011,2011-03-22,21,False,melt_out,134.61999999999998,134.61999999999998,2011-02-27
310:AZ:SNTL,2012,2012-03-27,26,False,melt_out,152.39999999999998,157.48,2012-01-30
310:AZ:SNTL,2013,2013-04-14,44,False,melt_out,193.04,208.27999999999997,2013-03-09
310:AZ:SNTL,2014,2014-03-18,17,False,melt_out,22.86,81.28,2014-02-06
