station,element,stored_unit,original_unit,begin_date,end_date
308:AZ:SNTL,PREC,in,in,1978-10-01 00:00,2100-01-01 00:00
308:AZ:SNTL,SNWD,in,in,2002-07-03 08:00,2100-01-01 00:00
308:AZ:SNTL,TAVG,degF,degF,1978-10-01 00:00,2100-01-01 00:00
308:AZ:SNTL,TMAX,degF,degF,1978-10-01 00:00,2100-01-01 00:00
308:AZ:SNTL,TMIN,degF,degF,1978-10-01 00:00,2100-01-01 00:00
308:AZ:SNTL,WTEQ,in,in,1978-10-01 00:00,2100-01-01 00:00
310:AZ:SNTL,PREC,in,in,1978-10-01 00:00,2100-01-01 00:00
310:AZ:SNTL,SNWD,in,in,2002-07-02 09:00,2100-01-01 00:00
310:AZ:SNTL,TAVG,degF,degC,1988-09-30 00:00,2100-01-01 00:00
310:AZ:SNTL,TMAX,degF,degC,1988-09-30 00:00,2100-01-01 00:00
310:AZ:SNTL,TMIN,degF,degC,1988-09-30 00:00,2100-01-01 00:00
310:AZ:SNTL,WTEQ,in,in,1978-10-03 00:00,2100-01-01 00:00
488:AZ:SNTL,PREC,in,in,1978-10-07 00:00,2100-01-01 00:00
488:AZ:SNTL,SNWD,in,in,2002-07-02 09:00,2100-01-01 00:00
488:AZ:SNTL,TAVG,degF,degC,1983-07-17 00:00,2100-01-01 00:00
488:AZ:SNTL,TMAX,degF,degC,1983-07-17 00:00,2100-01-01 00:00
488:AZ:SNTL,TMIN,degF,degC,1983-07-17 00:00,2100-01-01 00:00
488:AZ:SNTL,WTEQ,in,in,1978-10-06 00:00,2100-01-01 00:00
511:AZ:SNTL,PREC,in,in,1979-07-01 00:00,2100-01-01 00:00
511:AZ:SNTL,SNWD,in,in,2001-10-29 15:00,2100-01-01 00:00
511:AZ:SNTL,TAVG,degF,degC,1988-10-01 00:00,2100-01-01 00:00
511:AZ:SNTL,TMAX,degF,degC,1988-10-01 00:00,2100-01-01 00:00
511:AZ:SNTL,TMIN,degF,degC,1988-10-03 00:00,2100-01-01 00:00
511:AZ:SNTL,WTEQ,in,in,1979-10-13 00:00,2100-01-01 00:00
866:AZ:SNTL,PREC,in,in,1984-08-01 00:00,2100-01-01 00:00
866:AZ:SNTL,SNWD,in,in,2004-05-12 08:00,2100-01-01 00:00
866:AZ:SNTL,TAVG,degF,degC,1988-09-30 00:00,2100-01-01 00:00
866:AZ:SNTL,TMAX,degF,degC,1988-09-30 00:00,2100-01-01 00:00
866:AZ:SNTL,TMIN,degF,degC,1988-09-30 00:00,2100-01-01 00:00
866:AZ:SNTL,WTEQ,in,in,1984-07-17 00:00,2100-01-01 00:00
877:AZ:SNTL,PREC,in,in,1978-10-12 00:00,2100-01-01 00:00
877:AZ:SNTL,SNWD,in,in,2002-07-02 09:00,2100-01-01 00:00
877:AZ:SNTL,TAVG,degF,degC,1988-09-30 00:00,2100-01-01 00:00
877:AZ:SNTL,TMAX,degF,degC,1988-09-30 00:00,2100-01-01 00:00
877:AZ:SNTL,TMIN,degF,degC,1988-09-30 00:00,2100-01-01 00:00
877:AZ:SNTL,WTEQ,in,in,1978-10-12 00:00,2100-01-01 00:00
391:CA:SNTL,PREC,in,in,1978-10-01 00:00,2100-01-01 00:00
391:CA:SNTL,SNWD,in,in,2006-09-14 11:00,2100-01-01 00:00
391:CA:SNTL,TAVG,degF,degC,1990-07-22 00:00,2100-01-01 00:00
391:CA:SNTL,TMAX,degF,degC,1990-07-22 00:00,2100-01-01 00:00
391:CA:SNTL,TMIN,degF,degC,1989-09-30 00:00,2100-01-01 00:00
391:CA:SNTL,WTEQ,in,in,1978-10-01 00:00,2100-01-01 00:00
428:CA:SNTL,PREC,in,in,1980-10-01 00:00,2100-01-01 00:00
428:CA:SNTL,SNWD,in,in,2005-08-22 08:00,2100-01-01 00:00
428:CA:SNTL,TAVG,degF,degF,1986-10-01 00:00,2100-01-01 00:00
428:CA:SNTL,TMAX,degF,degF,1986-10-01 00:00,2100-01-01 00:00
428:CA:SNTL,TMIN,degF,degF,1986-10-01 00:00,2100-01-01 00:00
428:CA:SNTL,WTEQ,in,in,1980-10-01 00:00,2100-01-01 00:00
