station,stationId,stateCode,name,countyName,huc,elevation,latitude,longitude,dataTimeZone,beginDate,endDate,elevation_m
307:MT:SNTL,307,MT,Badger Pass,Pondera,100302010201,6870.0,48.13091,-113.02311,-8.0,1968-10-01 00:00,2100-01-01 00:00,2094.0
308:AZ:SNTL,308,AZ,Baker Butte,Coconino,150602030206,7360.0,34.45654,-111.40651,-8.0,1965-10-01 00:00,2100-01-01 00:00,2243.3
310:AZ:SNTL,310,AZ,Baldy,Apache,150200010203,9210.0,33.97845,-109.50357,-8.0,1949-11-01 00:00,2100-01-01 00:00,2807.2
320:ID:SNTL,320,ID,Bear Canyon,Custer,170402180101,7920.0,43.74367,-113.93797,-8.0,1979-10-01 00:00,2100-01-01 00:00,2414.0
335:CO:SNTL,335,CO,Berthoud Summit,Grand,140100010202,11300.0,39.80364,-105.77786,-8.0,1963-09-01 00:00,2100-01-01 00:00,3444.2
337:NV:SNTL,337,NV,Big Creek Sum,Lander,160401070303,8710.0,39.29148,-117.11506,-8.0,1980-10-01 00:00,2100-01-01 00:00,2654.8
344:OR:SNTL,344,OR,Billie Creek Divide,Klamath,180102030201,5280.0,42.40717,-122.26617,-8.0,1978-10-01 00:00,2100-01-01 00:00,1609.3
345:CO:SNTL,345,CO,Bison Lake,Garfield,140100011401,10950.0,39.76458,-107.35628,-8.0,1985-09-30 00:00,2100-01-01 00:00,3337.6
348:UT:SNTL,348,UT,Black Flat-U.M. Ck,Sevier,140700030101,9420.0,38.6799,-111.59765,-8.0,1980-06-19 00:00,2100-01-01 00:00,2871.2
368:UT:SNTL,368,UT,Brown Duck,Duchesne,140600030604,10570.0,40.58102,-110.58587,-8.0,1978-10-01 00:00,2100-01-01 00:00,3221.7
388:OR:SNTL,388,OR,Cascade Summit,Deschutes,170900010301,5100.0,43.59042,-122.0601,-8.0,1979-10-01 00:00,2100-01-01 00:00,1554.5
391:CA:SNTL,391,CA,Cedar Pass,Modoc,180200020603,7060.0,41.58216,-120.30253,-8.0,1977-10-01 00:00,2100-01-01 00:00,2151.9
394:NM:SNTL,394,NM,Chamita,Rio Arriba,130201020204,8360.0,36.95606,-106.65723,-8.0,1978-10-01 00:00,2100-01-01 00:00,2548.1
412:CO:SNTL,412,CO,Copeland Lake,Boulder,101900050202,8570.0,40.20733,-105.5695,-8.0,1979-10-01 00:00,2100-01-01 00:00,2612.1
422:OR:SNTL,422,OR,County Line,Umatilla,170601040202,4840.0,45.19107,-118.55015,-8.0,1979-10-01 00:00,2100-01-01 00:00,1475.2
428:CA:SNTL,428,CA,Css Lab,Nevada,180201250602,6890.0,39.32565,-120.36807,-8.0,1980-10-01 00:00,2100-01-01 00:00,2100.1
433:MT:SNTL,433,MT,Daly Creek,Ravalli,170102050901,5780.0,46.18367,-113.8533,-8.0,1966-10-01 00:00,2100-01-01 00:00,1761.7
445:NV:SNTL,445,NV,Disaster Peak,Humboldt,160402010201,6260.0,41.96737,-118.18934,-8.0,1980-10-01 00:00,2100-01-01 00:00,1908.0
446:CA:SNTL,446,CA,Dismal Swamp,Modoc,171200070304,7370.0,41.99127,-120.18033,-8.0,1979-10-01 00:00,2100-01-01 00:00,2246.4
468:WY:SNTL,468,WY,Elkhart Park G.S.,Sublette,140401020103,9410.0,43.00657,-109.75893,-8.0,1963-10-01 00:00,2100-01-01 00:00,2868.2
474:UT:SNTL,474,UT,Farmington,Davis,160201020502,7920.0,40.97462,-111.80975,-8.0,1978-10-01 00:00,2100-01-01 00:00,2414.0
476:NV:SNTL,476,NV,Fawn Creek,Elko,170501040304,7040.0,41.82098,-116.10153,-8.0,1980-10-01 00:00,2100-01-01 00:00,2145.8
478:WA:SNTL,478,WA,Fish Lake,Kittitas,170300010102,3440.0,47.53565,-121.08553,-8.0,1979-10-01 00:00,2100-01-01 00:00,1048.5
486:NM:SNTL,486,NM,Frisco Divide,Catron,150400040303,8010.0,33.73687,-108.94327,-8.0,1971-10-01 00:00,2100-01-01 00:00,2441.4
488:AZ:SNTL,488,AZ,Fry,Coconino,150602020501,7220.0,35.07356,-111.84477,-8.0,1978-10-01 00:00,2100-01-01 00:00,2200.7
491:NM:SNTL,491,NM,Gallegos Peak,Taos,130201010502,9460.0,36.19418,-105.55742,-8.0,1979-10-01 00:00,2100-01-01 00:00,2883.4
498:NV:SNTL,498,NV,Granite Peak,Humboldt,160401090601,8500.0,41.67032,-117.56668,-8.0,1980-10-01 00:00,2100-01-01 00:00,2590.8
502:WA:SNTL,502,WA,Green Lake,Yakima,170300030101,5920.0,46.54741,-121.17093,-8.0,1981-10-01 00:00,2100-01-01 00:00,1804.4
511:AZ:SNTL,511,AZ,Hannagan Meadows,Greenlee,150601010107,9030.0,33.65352,-109.30877,-8.0,1956-10-01 00:00,2100-01-01 00:00,2752.3
512:WY:SNTL,512,WY,Hanson Sawmill,Johnson,100902060101,8360.0,44.25602,-106.97983,-8.0,1979-10-01 00:00,2100-01-01 00:00,2548.1
514:UT:SNTL,514,UT,Harris Flat,Kane,160300010104,7800.0,37.48997,-112.57602,-8.0,1979-08-04 00:00,2100-01-01 00:00,2377.4
515:WA:SNTL,515,WA,Harts Pass,Okanogan,171100050501,6490.0,48.72047,-120.6586,-8.0,1979-10-01 00:00,2100-01-01 00:00,1978.2
532:NM:SNTL,532,NM,Hopewell,Rio Arriba,130201021401,10080.0,36.71632,-106.2637,-8.0,1978-10-01 00:00,2100-01-01 00:00,3072.4
534:ID:SNTL,534,ID,Howell Canyon,Cassia,170402090602,8010.0,42.32029,-113.61587,-8.0,1978-10-01 00:00,2100-01-01 00:00,2441.4
546:ID:SNTL,546,ID,Island Park,Fremont,170402020601,6300.0,44.4203,-111.38512,-8.0,1979-10-01 00:00,2100-01-01 00:00,1920.2
564:CO:SNTL,564,CO,Lake Eldora,Boulder,101900050402,9700.0,39.93659,-105.59031,-8.0,1978-10-01 00:00,2100-01-01 00:00,2956.6
